Unnamed: 0,Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_xG,stats_npxG,stats_xAG,stats_npxG+xAG,stats_PrgC,stats_PrgP,stats_PrgR,stats_Gls.1,stats_Ast.1,stats_G+A.1,stats_G-PK.1,stats_G+A-PK,stats_xG.1,stats_xAG.1,stats_xG+xAG,stats_npxG.1,stats_npxG+xAG.1,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_FK,shooting_PK,shooting_PKatt,shooting_xG,shooting_npxG,shooting_npxG/Sh,shooting_G-xG,shooting_np:G-xG,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp.1,passing_Att.1,passing_Cmp%.1,passing_Cmp.2,passing_Att.2,passing_Cmp%.2,passing_Cmp.3,passing_Att.3,passing_Cmp%.3,passing_Ast,passing_xAG,passing_xA,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive.1,gca_PassDead.1,gca_TO.1,gca_Sh.1,gca_Fld.1,gca_Def.1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl.1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_PrgC,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,possession_PrgR,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,playingtime_onxG,playingtime_onxGA,playingtime_xG+/-,playingtime_xG+/-90,playingtime_On-Off.1,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG,misc_Recov,misc_Won,misc_Lost,misc_Won%,Percentil_G-PK.1,Percentil_npxG.1,Percentil_PrgC,Percentil_xAG.1,Percentil_npxG+xAG.1,Percentil_Sh/90,Percentil_SoT/90,Percentil_SCA90,Percentil_GCA90,Percentil_Att,Percentil_1/3,Percentil_PPA,Percentil_CrsPA,Percentil_PrgP,Percentil_Att 3rd,Percentil_TklW,Percentil_Mid 3rd,Percentil_Att Pen,Percentil_Live,Percentil_PrgDist,Percentil_PrgR,Percentil_Succ%,Percentil_Won%,Distancia
0,Matías Abaldo,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,11,10,831,9.2,3,2,5,3,0,0,0,0,1.8,1.8,2.1,3.9,31,31,85,0.32,0.22,0.54,0.32,0.54,0.19,0.23,0.43,0.19,0.43,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,3,21,9,42.9,2.27,0.97,0.14,0.33,15.4,0,0,0,1.8,1.8,0.09,1.2,1.2,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,162,3.0718336483931954,62.3,2796,1029,94,121,77.7,39,69,56.5,25,46,54.3,2,2.1,1.1,-0.1,16,0.2481096408317581,0.20085066162570892,0.09451795841209831,0.36625708884688096,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,260,247,13,3,0,1,41,5,5,1,2,1,162,0,15,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,26,2.82,19,2,2,3,0,0,2,0.22,2,0,0,0,0,0,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,3,0.03544423440453687,0,0,0.03544423440453687,2,10,20.0,8,9,0,9,4,7,1,0,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,361,1,32,1.3468809073724008,2.6346880907372405,0.531663516068053,4.265122873345936,31,11,35.5,19,61.3,221,1481,8.577504725897922,31,14,10,26,15,258,1.0042533081285445,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,11,831,76,66.0,9.2,10,81,3,1,26,0,1.64,13,9,4,0.43,0.85,12.2,8.5,3.7,0.4,0.89,uy URU,FW,Gimnasia–LP,Primera Division Argentina,20-168,2004,9.2,0,0,0,2,5,1,41,4,3,0,0,0,39,2,2,50.0,81.15264797507788,60.747663551401864,96.88473520249221,90.49844236760126,78.03738317757009,64.01869158878505,75.54517133956386,60.280373831775705,68.22429906542055,13.015873015873018,44.12698412698413,70.7936507936508,84.12698412698413,40.95238095238095,22.22222222222222,28.253968253968253,6.031746031746032,39.04761904761905,10.793650793650794,36.82539682539683,33.65079365079365,47.97507788161994,74.9221183800623,138.0286106462398
3,Ramón Ábila,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,5,2,235,2.6,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,2,6,18,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.24,0.13,0.24,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,0,2,0,0.0,0.77,0.0,0.0,0.0,16.5,0,0,0,0.3,0.3,0.17,-0.3,-0.3,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,35,8.284023668639053,62.5,486,147,17,28,60.7,14,22,63.6,1,1,100.0,0,0.3,0.2,-0.3,6,0.29585798816568043,0.44378698224852065,0.14792899408284022,0.8875739644970413,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,56,53,3,0,0,0,1,0,0,0,0,0,35,0,1,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,12,4.62,9,0,1,1,1,0,1,0.38,1,0,0,0,0,0,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,0,0.0,0,0,0.0,0,0,0.0,0,2,0,2,0,0,3,0,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,78,3,3,5.621301775147929,5.621301775147929,1.0355029585798816,11.538461538461538,3,1,33.3,2,66.7,45,166,8.875739644970414,2,1,1,6,6,59,2.662721893491124,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,5,235,47,18.7,2.6,2,69,0,3,32,0,1.2,1,1,0,0.0,-0.44,1.6,2.8,-1.1,-0.44,-0.65,ar ARG,FW,Huracán,Primera Division Argentina,34-340,1989,2.6,0,0,0,1,2,4,1,0,0,0,0,0,7,6,8,42.9,31.464174454828658,46.41744548286604,36.29283489096573,65.57632398753894,47.81931464174455,20.5607476635514,18.38006230529595,90.65420560747664,78.19314641744548,45.3968253968254,51.746031746031754,85.39682539682539,88.09523809523809,64.60317460317461,48.25396825396825,11.746031746031745,48.888888888888886,63.96825396825396,45.3968253968254,37.46031746031746,63.8095238095238,44.39252336448598,62.928348909657316,152.67109561545115
7,Lautaro Acosta,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,10,2,308,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,4,15,8,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,0,1,0,0.0,0.29,0.0,0.0,0.0,10.1,0,0,0,0.0,0.0,0.04,0.0,0.0,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,74,8.650519031141869,74.0,1022,338,41,50,82.0,25,35,71.4,3,4,75.0,0,0.0,0.1,0.0,1,0.6055363321799309,0.08650519031141869,0.0,1.2975778546712804,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,100,96,3,0,1,0,2,2,0,0,0,0,74,1,4,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,4,1.17,3,0,0,0,1,0,1,0.29,1,0,0,0,0,0,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,6,0.25951557093425603,2,3,0.08650519031141869,3,11,27.3,8,3,1,2,2,8,5,0,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,139,7,28,6.660899653979239,3.2006920415224918,0.25951557093425603,12.024221453287197,4,3,75.0,1,25.0,63,341,13.667820069204152,4,4,0,12,3,81,0.6920415224913495,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,10,308,31,24.4,3.4,2,75,0,8,20,2,1.6,6,6,0,0.0,0.09,4.1,4.9,-0.8,-0.25,-0.17,ar ARG,"MF,FW",Lanús,Primera Division Argentina,36-188,1988,3.4,2,0,0,3,6,0,2,2,3,0,0,0,14,4,3,57.1,31.464174454828658,16.822429906542055,51.71339563862928,26.323987538940806,13.084112149532709,16.1993769470405,18.38006230529595,19.626168224299064,72.27414330218068,47.61904761904761,68.88888888888889,52.06349206349207,30.634920634920636,73.65079365079366,29.20634920634921,68.88888888888889,55.23809523809524,20.0,46.98412698412698,50.79365079365079,21.58730158730159,95.48286604361371,85.82554517133957,192.74612200593566
11,Walter Acuña,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,2,5,7,0.0,0.0,0.0,0.0,0.0,0.16,0.05,0.21,0.16,0.21,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,0,3,2,66.7,2.39,1.59,0.0,0.0,20.1,1,0,0,0.2,0.2,0.07,-0.2,-0.2,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,17,23.668639053254434,42.5,324,157,5,10,50.0,7,11,63.6,4,9,44.4,0,0.1,0.4,-0.1,1,1.1834319526627217,2.9585798816568043,0.5917159763313609,2.9585798816568043,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,40,32,8,6,0,0,8,0,2,1,1,0,17,0,6,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,5,3.98,2,0,0,1,2,0,0,0.0,0,0,0,0,0,0,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,5,0.5917159763313609,0,2,1.7751479289940826,0,2,0.0,2,1,0,1,1,6,0,0,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,64,0,1,12.426035502958579,24.852071005917157,3.550295857988165,37.869822485207095,4,1,25.0,2,50.0,24,108,22.485207100591715,2,1,1,8,4,36,4.1420118343195265,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,5,113,23,9.0,1.3,1,45,0,4,17,1,1.2,0,2,-2,-1.59,-1.75,1.9,1.9,0.0,0.01,0.03,ar ARG,"FW,MF",Deportivo Riestra,Primera Division Argentina,32-198,1992,1.3,0,0,0,5,5,0,8,1,1,0,0,0,3,2,8,20.0,31.464174454828658,53.271028037383175,36.29283489096573,44.85981308411215,38.940809968847354,67.601246105919,92.6791277258567,83.8006230529595,28.34890965732087,73.01587301587301,80.7936507936508,97.46031746031746,96.66666666666667,86.19047619047619,81.26984126984127,82.38095238095238,68.25396825396825,81.74603174603175,73.01587301587301,62.53968253968254,76.19047619047619,34.57943925233645,27.570093457943923,185.41171190018423
17,Brian Aguirre,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,6,4,336,3.7,1,1,2,1,0,0,1,0,0.6,0.6,0.7,1.3,9,16,27,0.27,0.27,0.54,0.27,0.54,0.17,0.18,0.35,0.17,0.35,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,1,6,2,33.3,1.61,0.54,0.17,0.5,15.0,0,0,0,0.6,0.6,0.11,0.4,0.4,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,74,8.91161431701972,60.7,1174,341,41,52,78.8,17,28,60.7,11,23,47.8,1,0.7,0.1,0.3,4,0.36523009495982467,0.07304601899196492,0.0,1.1687363038714387,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,122,108,14,1,0,1,22,1,11,5,4,0,74,0,9,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,15,4.03,9,1,3,1,1,0,1,0.27,0,0,0,0,1,0,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,2,0.07304601899196492,1,0,0.07304601899196492,1,7,14.3,6,2,0,2,1,3,0,0,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,161,0,12,5.989773557341125,5.113221329437546,0.6574141709276844,11.760409057706353,17,8,47.1,9,52.9,78,597,18.3345507669832,9,7,2,8,5,106,1.9722425127830532,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,6,336,56,26.7,3.7,4,71,1,2,27,2,1.67,5,2,3,0.8,0.61,4.2,5.7,-1.5,-0.41,-0.2,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,1,0,0,7,7,0,22,1,1,0,0,0,14,5,9,35.7,77.88161993769471,55.9190031152648,72.74143302180686,83.95638629283489,66.97819314641744,40.34267912772586,54.82866043613706,85.51401869158879,70.56074766355141,48.73015873015873,56.03174603174603,48.73015873015873,30.634920634920636,71.58730158730158,46.507936507936506,38.88888888888889,51.269841269841265,46.507936507936506,46.19047619047619,59.84126984126984,56.03174603174603,69.78193146417445,50.155763239875384,141.2442863269912
273,Brian Aguirre,ar ARG,"MF,FW",Newell's OB,Primera Division Argentina,21-109,2003,5,3,250,2.8,1,0,1,1,0,0,2,0,0.5,0.5,0.0,0.5,11,6,22,0.36,0.0,0.36,0.36,0.36,0.17,0.01,0.18,0.17,0.18,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,1,6,2,33.3,1.61,0.54,0.17,0.5,15.0,0,0,0,0.6,0.6,0.11,0.4,0.4,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,74,8.91161431701972,60.7,1174,341,41,52,78.8,17,28,60.7,11,23,47.8,1,0.7,0.1,0.3,4,0.36523009495982467,0.07304601899196492,0.0,1.1687363038714387,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,122,108,14,1,0,1,22,1,11,5,4,0,74,0,9,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,15,4.03,9,1,3,1,1,0,1,0.27,0,0,0,0,1,0,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,2,0.07304601899196492,1,0,0.07304601899196492,1,7,14.3,6,2,0,2,1,3,0,0,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,161,0,12,5.989773557341125,5.113221329437546,0.6574141709276844,11.760409057706353,17,8,47.1,9,52.9,78,597,18.3345507669832,9,7,2,8,5,106,1.9722425127830532,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,6,336,56,26.7,3.7,4,71,1,2,27,2,1.67,5,2,3,0.8,0.61,4.2,5.7,-1.5,-0.41,-0.2,ar ARG,"MF,FW",Boca Juniors,Primera Division Argentina,21-109,2003,3.7,1,0,0,7,7,0,22,1,1,0,0,0,14,5,9,35.7,83.95638629283489,55.9190031152648,77.25856697819314,26.323987538940806,33.64485981308411,40.34267912772586,54.82866043613706,85.51401869158879,70.56074766355141,48.73015873015873,56.03174603174603,48.73015873015873,30.634920634920636,71.58730158730158,46.507936507936506,38.88888888888889,51.269841269841265,46.507936507936506,46.19047619047619,59.84126984126984,56.03174603174603,69.78193146417445,50.155763239875384,148.78129724749058
529,Federico Aguirre,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,7,3,249,2.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,5,22,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,0,2,1,50.0,0.72,0.36,0.0,0.0,11.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,37,6.505102040816327,72.5,522,107,20,27,74.1,12,15,80.0,1,1,100.0,0,0.1,0.1,-0.1,5,0.5102040816326531,0.0,0.0,0.6377551020408164,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,51,46,5,0,0,0,0,0,0,0,0,0,37,0,5,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,7,2.52,5,0,0,1,1,0,0,0.0,0,0,0,0,0,0,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,3,0.25510204081632654,1,1,0.12755102040816327,1,1,100.0,0,2,0,2,0,3,4,0,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,103,4,13,6.760204081632654,4.974489795918368,0.7653061224489797,13.137755102040817,18,1,5.6,15,83.3,64,336,18.494897959183678,3,2,0,14,10,73,2.8061224489795924,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,7,249,36,19.8,2.8,3,65,1,4,14,4,0.43,0,4,-4,-1.45,-0.56,2.1,4.8,-2.7,-0.96,-0.02,ar ARG,FW,Barracas Central,Primera Division Argentina,22-149,2002,2.8,1,0,0,3,8,1,0,0,2,0,0,0,8,7,8,46.7,31.464174454828658,27.41433021806853,44.85981308411215,44.85981308411215,21.962616822429908,19.937694704049843,45.95015576323988,54.20560747663551,28.34890965732087,40.0,63.8095238095238,15.555555555555555,30.634920634920636,56.82539682539682,45.714285714285715,67.93650793650794,55.87301587301587,51.42857142857142,49.523809523809526,60.317460317460316,64.76190476190476,23.98753894080997,69.00311526479751,192.65685226380825
530,Manuel Agustín Duarte,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,8,2,252,2.8,0,0,0,0,0,0,1,0,0.6,0.6,0.1,0.7,8,13,8,0.0,0.0,0.0,0.0,0.0,0.21,0.04,0.25,0.21,0.25,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,0,7,2,28.6,2.5,0.71,0.0,0.0,27.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,74,12.627551020408166,74.7,1338,373,39,46,84.8,24,29,82.8,10,19,52.6,0,0.1,0.1,-0.1,5,1.5306122448979593,0.38265306122448983,0.12755102040816327,1.6581632653061227,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,99,95,4,1,1,1,5,1,1,1,0,0,74,0,3,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,8,2.83,7,0,0,1,0,0,1,0.35,1,0,0,0,0,0,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,5,0.6377551020408164,1,4,0.0,1,2,50.0,1,5,0,5,2,7,4,0,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,130,3,20,9.821428571428571,4.464285714285714,0.25510204081632654,16.581632653061227,7,3,42.9,4,57.1,83,577,34.94897959183674,8,5,1,5,8,94,1.0204081632653061,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,8,252,32,20.0,2.8,2,61,0,6,22,6,0.75,2,6,-4,-1.43,-0.54,2.2,5.0,-2.8,-0.99,-0.06,ar ARG,"MF,FW",Barracas Central,Primera Division Argentina,23-026,2001,2.8,1,0,0,3,1,1,5,2,5,0,0,0,14,2,6,25.0,31.464174454828658,67.44548286604362,69.78193146417445,39.56386292834891,49.84423676012461,70.87227414330218,65.88785046728972,60.747663551401864,75.38940809968847,59.36507936507937,83.80952380952381,83.80952380952381,86.34920634920636,79.04761904761905,43.80952380952381,83.80952380952381,64.76190476190476,19.047619047619047,55.23809523809524,68.57142857142857,34.76190476190476,62.149532710280376,33.8006230529595,157.19074930453297
531,Gabriel Alanís,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,9,6,444,4.9,2,2,4,2,0,0,0,0,1.4,1.4,1.4,2.8,7,16,38,0.41,0.41,0.81,0.41,0.81,0.28,0.29,0.57,0.28,0.57,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,2,14,3,21.4,2.84,0.61,0.14,0.67,16.8,0,0,0,1.4,1.4,0.1,0.6,0.6,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,100,5.997501041232819,69.4,1794,440,43,54,79.6,42,58,72.4,12,18,66.7,2,1.4,1.3,0.6,7,0.4997917534360682,0.29154518950437314,0.2082465639316951,0.6663890045814242,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,144,135,8,0,2,1,13,7,0,0,0,0,100,1,6,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,13,2.63,9,1,1,1,0,1,2,0.4,2,0,0,0,0,0,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,4,0.12494793835901705,2,1,0.041649312786339016,3,3,100.0,0,3,1,2,4,8,3,0,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,205,2,16,4.164931278633902,3.9150354019158677,0.7496876301541023,8.538109121199499,15,5,33.3,9,60.0,133,628,9.912536443148687,7,7,1,15,12,154,1.5826738858808829,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,9,444,49,35.2,4.9,6,65,0,3,19,1,1.11,5,7,-2,-0.41,0.7,5.0,5.0,0.0,0.0,0.52,ar ARG,FW,Defensa y Just,Primera Division Argentina,30-186,1994,4.9,0,0,0,3,6,0,13,4,3,0,0,0,19,5,11,31.3,87.85046728971963,79.12772585669782,66.04361370716511,93.45794392523365,91.43302180685359,81.61993769470405,59.034267912772584,58.25545171339564,78.81619937694704,36.82539682539683,63.17460317460317,79.36507936507937,91.26984126984127,58.0952380952381,39.04761904761905,50.0,37.93650793650794,50.476190476190474,37.142857142857146,40.317460317460316,49.84126984126984,44.39252336448598,44.0809968847352,110.73707736868765
1047,Franco Alfonso,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,9,0,150,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,5,24,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,0,6,0,0.0,3.6,0.0,0.0,0.0,26.6,0,0,0,0.1,0.1,0.01,-0.1,-0.1,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,58,26.98961937716263,74.4,977,290,31,33,93.9,20,28,71.4,6,9,66.7,0,0.1,0.2,-0.1,6,2.4221453287197234,0.6920415224913495,0.0,1.7301038062283738,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,78,72,6,0,0,1,10,1,5,2,3,0,58,0,6,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,13,7.8,7,4,0,0,1,1,1,0.6,1,0,0,0,0,0,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,1,0.34602076124567477,0,1,0.0,0,3,0.0,3,4,0,4,2,3,2,0,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,112,1,14,14.53287197231834,20.415224913494807,3.114186851211073,38.754325259515575,5,1,20.0,4,80.0,65,443,65.05190311418686,7,3,3,10,6,70,8.304498269896193,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,9,150,17,11.9,1.7,0,0,0,9,17,4,1.44,2,2,0,0.0,-0.41,1.5,1.9,-0.4,-0.26,-0.4,ar ARG,"FW,MF",Huracán,Primera Division Argentina,22-137,2002,1.7,0,0,0,3,4,1,10,2,1,0,0,0,17,1,4,20.0,31.464174454828658,24.922118380062305,66.04361370716511,56.230529595015575,26.012461059190027,89.7196261682243,18.38006230529595,98.13084112149532,89.56386292834891,75.87301587301587,87.61904761904762,89.20634920634922,30.634920634920636,79.36507936507937,79.68253968253968,76.5079365079365,72.06349206349206,80.31746031746032,74.28571428571429,81.9047619047619,85.39682539682539,30.8411214953271,27.570093457943923,222.4989814342945
